singular,plural,article
ancillary,ancillaries,an
andante,andantes,an
andiron,andirons,an
androgen,androgens,an
android,androids,an
anecdote,anecdotes,an
anemia,anemia,an
anemic,anemics,an
anemometer,anemometers,an
anemone,anemones,an
anesthesia,anesthesia,an
anesthesiologist,anesthesiologists,an
anesthesiology,anesthesiologies,an
anesthetic,anesthetics,an
anesthetist,anesthetists,an
aneurism,aneurisms,an
aneurysm,aneurysm,an
angel,angels,an
anger,anger,an
angina,angina,an
angioplasty,angioplasties,an
angiosperm,angiosperms,an
angle,angles,an
angler,anglers,an
angst,angst,an
anguish,anguish,an
angularity,angularities,an
animal,animals,an
animation,animations,an
animator,animators,an
animism,animism,an
animist,animists,an
animosity,animosities,an
animus,animus,an
anion,anions,an
anise,anise,an
aniseed,aniseed,an
ankle,ankles,an
anklet,anklets,an
annals,annals,an
annex,annexes,an
annexation,annexations,an
annihilation,annihilation,an
annihilator,annihilators,an
anniversary,anniversaries,an
annotation,annotations,an
announcement,announcements,an
announcer,announcers,an
annoyance,annoyances,an
annual,annuals,an
annuity,annuities,an
annulment,annulment,an
anode,anodes,an
anodyne,anodynes,an
anointment,anointments,an
anomaly,anomalies,an
anonymity,anonymity,an
anorak,anoraks,an
anorexia,anorexia,an
answer,answers,an
ant,ants,an
antacid,antacids,an
antagonism,antagonisms,an
antagonist,antagonists,an
ante,antes,an
anteater,anteaters,an
antecedent,antecedents,an
antechamber,antechambers,an
antelope,antelope,an
antenna,antennas,an
anterior,anteriors,an
anteroom,anterooms,an
anthem,anthems,an
anther,anthers,an
anthology,anthologies,an
anthracite,anthracite,an
anthrax,anthraces,an
anthropoid,anthropoids,an
anthropologist,anthropologists,an
anthropology,anthropologies,an
anthropomorphism,anthropomorphism,an
anti,antis,an
antibiotic,antibiotics,an
antibody,antibodies,an
antic,antics,an
anticipation,anticipations,an
anticlimax,anticlimaxes,an
anticyclone,anticyclones,an
antidote,antidotes,an
antifreeze,antifreezes,an
antigen,antigens,an
antihero,antiheroes,an
antihistamine,antihistamines,an
antimony,antimony,an
antipathy,antipathies,an
antiquarian,antiquarians,an
antiquary,antiquaries,an
antique,antiques,an
antiquity,antiquities,an
antiseptic,antiseptics,an
antithesis,antitheses,an
antitoxin,antitoxins,an
antiviral,antivirals,an
antivirus,antivirus,an
antler,antlers,an
antonym,antonyms,an
anus,anuses,an
anvil,anvils,an
anxiety,anxieties,an
aorta,aortae,an
apartment,apartments,an
apathy,apathy,an
ape,apes,an
aperture,apertures,an
apex,apices,an
aphasia,aphasia,an
aphasic,aphasics,an
aphelion,aphelia,an
aphid,aphids,an
aphorism,aphorisms,an
aphrodisiac,aphrodisiacs,an
apiary,apiaries,an
aplomb,aplomb,an
apocalypse,apocalypse,an
apogee,apogees,an
apologia,apologias,an
apologist,apologists,an
apology,apologies,an
apoplectic,apoplectics,an
apoplexy,apoplexies,an
apostasy,apostasies,an
apostate,apostates,an
apostle,apostles,an
apostrophe,apostrophes,an
apothecary,apothecaries,an
apotheosis,apotheoses,an
apparatus,apparatuses,an
apparel,apparel,an
apparition,apparitions,an
appeal,appeals,an
appearance,appearances,an
appeasement,appeasement,an
appellant,appellants,an
appellation,appellations,an
appendage,appendages,an
appendectomy,appendectomies,an
appendicitis,appendicitis,an
appendix,appendices,an
appetite,appetites,an
appetizer,appetizers,an
applause,applause,an
apple,apples,an
applejack,applejack,an
applesauce,applesauce,an
appliance,appliances,an
applicability,applicabilities,an
applicant,applicants,an
application,applications,an
applicator,applicators,an
appointee,appointees,an
appointment,appointments,an
apportionment,apportionments,an
appositeness,appositeness,an
apposition,apposition,an
appositive,appositives,an
appraiser,appraisers,an
appreciation,appreciations,an
apprehension,apprehensions,an
apprehensiveness,apprehensiveness,an
apprentice,apprentices,an
apprenticeship,apprenticeships,an
approach,approaches,an
approbation,approbation,an
appropriateness,appropriateness,an
appropriation,appropriations,an
approval,approvals,an
approximation,approximations,an
appurtenance,appurtenances,an
apricot,apricots,an
apron,aprons,an
aptitude,aptitudes,an
aptness,aptness,an
aqua,aquae,an
aquaculture,aquaculture,an
aquamarine,aquamarine,an
aquaplane,aquaplanes,an
aquarium,aquariums,an
aquatic,aquatics,an
aquavit,aquavit,an
aqueduct,aqueducts,an
aquiculture,aquiculture,an
aquifer,aquifers,an
arabesque,arabesques,an
arable,arable,an
arachnid,arachnids,an
arbiter,arbiters,an
arbitrariness,arbitrariness,an
arbitration,arbitrations,an
arbitrator,arbitrators,an
arbor,arbors,an
arboretum,arboretums,an
arborvitae,arborvitaes,an
arc,arcs,an
arcade,arcades,an
arch,arches,an
archaeologist,archaeologists,an
archaeology,archaeologies,an
archaism,archaisms,an
archangel,archangels,an
archbishopric,archbishoprics,an
archdiocese,archdioceses,an
archduke,archdukes,an
archer,archers,an
archery,archery,an
archetype,archetypes,an
archipelago,archipelagoes,an
architect,architects,an
architecture,architectures,an
archive,archives,an
archivist,archivists,an
ardor,ardors,an
arduousness,arduousness,an
area,areas,an
arena,arenas,an
argentine,argentines,an
argon,argon,an
argot,argot,an
argument,arguments,an
argumentation,argumentations,an
aria,arias,an
aridity,aridity,an
aristocracy,aristocracies,an
aristocrat,aristocrats,an
arithmetic,arithmetics,an
ark,arks,an
arm,arms,an
armada,armadas,an
armadillo,armadillos,an
armagnac,armagnacs,an
armament,armaments,an
armature,armatures,an
armchair,armchairs,an
armful,armfuls,an
armor,armor,an
armorer,armorers,an
armory,armories,an
armpit,armpits,an
armrest,armrests,an
army,armies,an
aroma,aromas,an
aromatic,aromatics,an
arousal,arousals,an
arpeggio,arpeggios,an
arraignment,arraignments,an
arrangement,arrangements,an
arranger,arrangers,an
array,arrays,an
arrest,arrests,an
arrival,arrivals,an
arrogance,arrogance,an
arrow,arrows,an
arrowhead,arrowheads,an
arrowroot,arrowroot,an
arroyo,arroyos,an
arse,arses,an
arsenal,arsenals,an
arsenic,arsenic,an
arson,arsons,an
arsonist,arsonists,an
art,arts,an
artefact,artefacts,an
arterial,arterials,an
arteriosclerosis,arterioscleroses,an
artery,arteries,an
artfulness,artfulness,an
arthritic,arthritics,an
arthritis,arthritides,an
arthropod,arthropods,an
artichoke,artichokes,an
article,articles,an
articulateness,articulateness,an
articulation,articulations,an
artifact,artifacts,an
artifice,artifices,an
artificer,artificers,an
artificiality,artificiality,an
artillery,artillery,an
artisan,artisans,an
artist,artists,an
artistry,artistry,an
artlessness,artlessness,an
asbestos,asbestos,an
ascendancy,ascendancy,an
ascendant,ascendants,an
ascendency,ascendency,an
ascension,ascension,an
ascent,ascents,an
ascetic,ascetics,an
asceticism,asceticisms,an
ascot,ascots,an
ascription,ascriptions,an
asexual,asexuals,an
ash,ashes,an
aside,asides,an
asparagus,asparagus,an
aspect,aspects,an
aspen,aspens,an
asperity,asperities,an
aspersion,aspersions,an
asphalt,asphalt,an
asphyxia,asphyxia,an
asphyxiation,asphyxiation,an
aspic,aspic,an
aspirant,aspirants,an
aspirate,aspirates,an
aspiration,aspirations,an
aspirin,aspirins,an
ass,asses,an
assailant,assailants,an
assassin,assassins,an
assassination,assassinations,an
assault,assaults,an
assaulter,assaulters,an
assay,assays,an
assemblage,assemblages,an
assembler,assemblers,an
assembly,assemblies,an
assemblyman,assemblymen,an
assent,assents,an
assertion,assertions,an
assertiveness,assertiveness,an
assessment,assessments,an
assessor,assessors,an
asset,assets,an
assiduousness,assiduousness,an
assignation,assignations,an
assignment,assignments,an
assimilation,assimilations,an
assistance,assistance,an
assistant,assistants,an
assize,assizes,an
associate,associates,an
association,associations,an
assonance,assonance,an
assortment,assortments,an
assumption,assumptions,an
assurance,assurances,an
aster,asters,an
asterisk,asterisks,an
asteroid,asteroids,an
asthma,asthmas,an
asthmatic,asthmatics,an
astigmatism,astigmatisms,an
astonishment,astonishment,an
astringency,astringency,an
astringent,astringent,an
astrologer,astrologers,an
astrology,astrology,an
astronaut,astronauts,an
astronautics,astronautics,an
astronomer,astronomers,an
astronomy,astronomy,an
astrophysicist,astrophysicists,an
astrophysics,astrophysics,an
astuteness,astuteness,an
asylum,asylums,an
asymmetry,asymmetries,an
asymptotic,asymptotics,an
atavism,atavisms,an
atheism,atheism,an
atheist,atheists,an
atherosclerosis,atheroscleroses,an
athlete,athletes,an
athletics,athletics,an
atlas,atlases,an
atmosphere,atmospheres,an
atmospheric,atmospheric,an
atoll,atolls,an
atom,atoms,an
atomizer,atomizers,an
atonality,atonality,an
atonement,atonement,an
atrium,atriums,an
atrocity,atrocities,an
atrophy,atrophies,an
attachment,attachments,an
attack,attacks,an
attacker,attackers,an
attainment,attainments,an
attar,attar,an
attempt,attempts,an
attendance,attendances,an
attendant,attendants,an
attender,attenders,an
attention,attentions,an
attentiveness,attentiveness,an
attenuation,attenuations,an
attestation,attestations,an
attic,attics,an
attire,attire,an
attitude,attitudes,an
attorney,attorneys,an
attraction,attractions,an
attractiveness,attractiveness,an
attribute,attributes,an
attribution,attributions,an
attrition,attrition,an
atypical,atypicals,an
auburn,auburn,an
auction,auctions,an
auctioneer,auctioneers,an
audaciousness,audaciousness,an
audacity,audacities,an
audibility,audibility,an
audience,audiences,an
audit,audits,an
audition,auditions,an
auditor,auditors,an
auditorium,auditoriums,an
auger,augers,an
augmentation,augmentations,an
augur,augurs,an
augury,auguries,an
auk,auks,an
aunt,aunts,an
aura,auras,an
aureola,aureolae,an
aureole,aureoles,an
auricle,auricles,an
auspice,auspices,an
auspiciousness,auspiciousness,an
austerity,austerities,an
authentic,authentics,an
authentication,authentication,an
authenticity,authenticity,an
author,authors,an
authoritarian,authoritarians,an
authoritarianism,authoritarianism,an
authoritativeness,authoritativeness,an
authority,authorities,an
authorization,authorizations,an
authorship,authorship,an
autism,autism,an
autistic,autistics,an
auto,autos,an
autobiography,autobiographies,an
autocracy,autocracies,an
autocrat,autocrats,an
autograph,autographs,an
automatic,automatics,an
automaton,automatons,an
automobile,automobiles,an
autonomy,autonomies,an
autopilot,autopilot,an
autopsy,autopsies,an
autumn,autumns,an
auxiliary,auxiliaries,an
avail,avail,an
availability,availabilities,an
avalanche,avalanches,an
avarice,avarice,an
avenger,avengers,an
avenue,avenues,an
average,averages,an
aversion,aversions,an
avian,avians,an
aviary,aviaries,an
aviation,aviation,an
aviator,aviators,an
avidity,avidities,an
avocado,avocados,an
avocation,avocations,an
avoidance,avoidances,an
avoirdupois,avoirdupois,an
avowal,avowals,an
awakening,awakenings,an
award,awards,an
awareness,awarenesses,an
awe,awe,an
awfulness,awfulness,an
awkwardness,awkwardness,an
awl,awls,an
