singular,plural,past
brocades,brocade,brocaded
broils,broil,broiled
brokers,broker,brokered
bronzes,bronze,bronzed
broods,brood,brooded
brooks,brook,brooked
browbeats,browbeat,browbeat
browns,brown,browned
browses,browse,browsed
bruises,bruise,bruised
brushes,brush,brushed
brutalizes,brutalize,brutalized
bubbles,bubble,bubbled
buckets,bucket,bucketed
buckles,buckle,buckled
bucks,buck,bucked
buddies,buddy,buddied
budges,budge,budged
budgets,budget,budgeted
buds,bud,budded
buffers,buffer,buffered
buffets,buffet,buffeted
buffs,buff,buffed
buggers,bugger,buggered
bugs,bug,bugged
builds,build,built
bulges,bulge,bulged
bulks,bulk,bulked
bulldozes,bulldoze,bulldozed
bullies,bully,bullied
bulls,bull,bulled
bumbles,bumble,bumbled
bumps,bump,bumped
bums,bum,bummed
bunches,bunch,bunched
bundles,bundle,bundled
bungles,bungle,bungled
bungs,bung,bunged
bunkers,bunker,bunkered
bunks,bunk,bunked
buoys,buoy,buoyed
burdens,burden,burdened
burgeons,burgeon,burgeoned
burglarizes,burglarize,burglarized
burgles,burgle,burgled
buries,bury,buried
burlesques,burlesque,burlesqued
burnishes,burnish,burnished
burns,burn,burned
burps,burp,burped
burrows,burrow,burrowed
burrs,burr,burred
bursts,burst,burst
buses,bus,bused
busies,busy,busied
bustles,bustle,bustled
busts,bust,busted
butchers,butcher,butchered
butters,butter,buttered
buttonholes,buttonhole,buttonholed
buttons,button,buttoned
buttresses,buttress,buttressed
butts,butt,butted
buys,buy,bought
buzzes,buzz,buzzed
bypasses,bypass,bypassed
cables,cable,cabled
caches,cache,cached
cackles,cackle,cackled
cadges,cadge,cadged
cages,cage,caged
cajoles,cajole,cajoled
cakes,cake,caked
calcifies,calcify,calcified
calcines,calcine,calcined
calculates,calculate,calculated
calendars,calendar,calendared
calibrates,calibrate,calibrated
calipers,caliper,calipered
calks,calk,calked
callipers,calliper,callipered
calls,call,called
calluses,callus,callused
calms,calm,calmed
calumniates,calumniate,calumniated
calves,calve,calved
cambers,camber,cambered
camouflages,camouflage,camouflaged
campaigns,campaign,campaigned
camps,camp,camped
canals,canal,canaled
cancels,cancel,canceled
candidates,candidate,candidated
candies,candy,candied
candles,candle,candled
canes,cane,caned
cankers,canker,cankered
cannibalizes,cannibalize,cannibalized
canoes,canoe,canoed
canonizes,canonize,canonized
canopies,canopy,canopied
canters,canter,cantered
cantilevers,cantilever,cantilevered
cants,cant,canted
canvases,canvas,canvased
canvasses,canvass,canvassed
capers,caper,capered
capitalizes,capitalize,capitalized
capitulates,capitulate,capitulated
caps,cap,capped
capsules,capsule,capsuled
captains,captain,captained
captions,caption,captioned
captivates,captivate,captivated
captures,capture,captured
caravans,caravan,caravaned
carbonates,carbonate,carbonated
cards,card,carded
careens,careen,careened
careers,career,careered
cares,care,cared
caresses,caress,caressed
caricatures,caricature,caricatured
carols,carol,carolled
carouses,carouse,caroused
carpets,carpet,carpeted
carps,carp,carped
carries,carry,carried
cartoons,cartoon,cartooned
carts,cart,carted
carves,carve,carved
cascades,cascade,cascaded
cases,case,cased
cashes,cash,cashed
cashiers,cashier,cashiered
castigates,castigate,castigated
castles,castle,castled
castrates,castrate,castrated
casts,cast,cast
catalogues,catalogue,catalogued
catalyses,catalyse,catalysed
catalyzes,catalyze,catalyzed
catapults,catapult,catapulted
catcalls,catcall,catcalled
catches,catch,caught
catechizes,catechize,catechized
categorizes,categorize,categorized
caters,cater,catered
cats,cat,catted
caucuses,caucus,caucused
causes,cause,caused
cauterizes,cauterize,cauterized
cautions,caution,cautioned
caves,cave,caved
cavils,cavil,cavilled
caws,caw,cawed
ceases,cease,ceased
cedes,cede,ceded
celebrates,celebrate,celebrated
cements,cement,cemented
censors,censor,censored
censures,censure,censured
censuses,census,censused
